Username,Komentar,Timestamp,Likes,Original Text,Public
@dezanjulian,CABUT RUU TNI!,2025-03-26T17:15:26Z,0,CABUT RUU TNI!,True
@rai_zip,"Dapet presiden insinyur kerjaan nya bangun patung, bangun ibukota baru, banyakin hutang.<br>Dapet presiden jendral kerjaan nya beli alusista, jadiin tentara PNS, bisa² bentar lagi gue di panggil wajib militer",2025-03-26T17:13:30Z,0,"Dapet presiden insinyur kerjaan nya bangun patung, bangun ibukota baru, banyakin hutang.
Dapet presiden jendral kerjaan nya beli alusista, jadiin tentara PNS, bisa² bentar lagi gue di panggil wajib militer",True
@Afiq_lee88,kami tidak lupa kekejaman TNI kepda timor leste❤🎉,2025-03-26T17:13:14Z,0,kami tidak lupa kekejaman TNI kepda timor leste❤🎉,True
@kadang_oke,bg coba bahas tentang perang bubat. perang yg melarang jawa &amp; sunda saling menikah,2025-03-26T17:09:03Z,1,bg coba bahas tentang perang bubat. perang yg melarang jawa & sunda saling menikah,True
@masrengez,"minum obat baaang,,kek sakit gtU bang koi",2025-03-26T17:08:32Z,0,"minum obat baaang,,kek sakit gtU bang koi",True
@hbchannel195,SAYA SETUJU AGAR MULUT GAK SEMBARANG BACOT..DAN SELAMA DI PEGANG SIPIL..MALAH MENGALAMI KEMUNDURAN DALAM HAL NASIONALISASI...DAN PENGAMBILAN KEPUTUSAN PUN LAMBAN...BERTELE2...KENAPA DI SAMAIN DENGAN MYANMAR😂😂😂,2025-03-26T17:07:26Z,0,SAYA SETUJU AGAR MULUT GAK SEMBARANG BACOT..DAN SELAMA DI PEGANG SIPIL..MALAH MENGALAMI KEMUNDURAN DALAM HAL NASIONALISASI...DAN PENGAMBILAN KEPUTUSAN PUN LAMBAN...BERTELE2...KENAPA DI SAMAIN DENGAN MYANMAR😂😂😂,True
@MOTIVASIHIDUP-tm6hd,"INTINYA KALAU MAU INDONESIA MAJU, MAU ITU SISTEM MILITER MASUK DALAM PEMERINTAH ATAU TIDAK. SEMUA SAMA SAJA KALAU RAKYAT ITU SENDIRI TIDAK MAU BERUSAHA BERSATU MEMERANGI KORUPSI DAN SISTEM YANG MERUGIKAN ORANG LAIN. SUDAH ADA BUKTI 1998 DAN 2024. SAMA SAJA KORUPSI MERAJALELA. KALAU KALIAN MAU BUKA MATA, NEGARA MAJU PUNYA PROSPEK HUKUM YANG JELAS DAN RANCANGAN KEMAJUAN APA YANG HARUS DI CAPAI SECARA BERTAHAP. INDONESIA BISA APA. DPR ATAU PEMERINTAH SAMA SAJA, MAU REVOLUSI HARUS ADA RANCANGAN HUKUM YANG JELAS. KORUPTOR ITU MEMATIKAN HIDUP RAKYAT HAM GAG BERHAK BERSUARA . KALAU HAM BERSUARA HUKUMAN MATI. MEREKA HAM PUN HARUS DI MUSNAKAN. SEPERTI KERASNYA KEHIDUPAN RAKYAT KARNA ULAH TIKUS NEGARA.",2025-03-26T17:07:26Z,0,"INTINYA KALAU MAU INDONESIA MAJU, MAU ITU SISTEM MILITER MASUK DALAM PEMERINTAH ATAU TIDAK. SEMUA SAMA SAJA KALAU RAKYAT ITU SENDIRI TIDAK MAU BERUSAHA BERSATU MEMERANGI KORUPSI DAN SISTEM YANG MERUGIKAN ORANG LAIN. SUDAH ADA BUKTI 1998 DAN 2024. SAMA SAJA KORUPSI MERAJALELA. KALAU KALIAN MAU BUKA MATA, NEGARA MAJU PUNYA PROSPEK HUKUM YANG JELAS DAN RANCANGAN KEMAJUAN APA YANG HARUS DI CAPAI SECARA BERTAHAP. INDONESIA BISA APA. DPR ATAU PEMERINTAH SAMA SAJA, MAU REVOLUSI HARUS ADA RANCANGAN HUKUM YANG JELAS. KORUPTOR ITU MEMATIKAN HIDUP RAKYAT HAM GAG BERHAK BERSUARA . KALAU HAM BERSUARA HUKUMAN MATI. MEREKA HAM PUN HARUS DI MUSNAKAN. SEPERTI KERASNYA KEHIDUPAN RAKYAT KARNA ULAH TIKUS NEGARA.",True
@ingundamwetrust,"Bubarkan DPR!!! <a href=""http://www.youtube.com/results?search_query=%23stopbayarpajak"">#STOPBAYARPAJAK</a> sampai UU Perampasan Aset Koruptor disahkan!!!",2025-03-26T17:05:28Z,7,Bubarkan DPR!!! #STOPBAYARPAJAK sampai UU Perampasan Aset Koruptor disahkan!!!,True
@DanteSattek,"Bebeas aja di negara paling banyak ongkum nya, bahkan Mentri agama korup uang haji bangsat",2025-03-26T17:02:05Z,0,"Bebeas aja di negara paling banyak ongkum nya, bahkan Mentri agama korup uang haji bangsat",True
@Ahrenssaunders-f4q,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin maxwin makin gampang,2025-03-26T17:01:13Z,0,𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin maxwin makin gampang,True
