Username,Komentar,Timestamp,Likes,Original Text,Public
@dewi-eo3ee,"Emang ide tempo dn pdip itu serta suara2 sumbang mu untuk merugikan negara ini,",2025-03-27T01:17:22Z,0,"Emang ide tempo dn pdip itu serta suara2 sumbang mu untuk merugikan negara ini,",True
@GARDADAYAK-i4d,RASAKAN KAMU GERUNG 😅😅KAMU AKAN PUAS NANTI DI SEL SAYA AKAN BAYAR BERAPAPAPUN AGAR KAMU TUA DIPENJARA😅😅,2025-03-27T00:52:47Z,0,RASAKAN KAMU GERUNG 😅😅KAMU AKAN PUAS NANTI DI SEL SAYA AKAN BAYAR BERAPAPAPUN AGAR KAMU TUA DIPENJARA😅😅,True
@Sutikno23-gu7kx,GAK JADI NONTON ADA CONGORNYA RAI G JIJIK,2025-03-26T22:13:23Z,0,GAK JADI NONTON ADA CONGORNYA RAI G JIJIK,True
@ErfanEfrianto,Kita cuma menunggu waktu untuk terjadi nya peristiwa besar yg mencatatkan sejarah baru kekuasaan zalim saat ini hanya pemerintah yg terlalu ugal ugalan dgn kebijakan nya tanpa mempertimbangkan sisi ekonomi dari kebijakan tersebut,2025-03-26T20:02:37Z,0,Kita cuma menunggu waktu untuk terjadi nya peristiwa besar yg mencatatkan sejarah baru kekuasaan zalim saat ini hanya pemerintah yg terlalu ugal ugalan dgn kebijakan nya tanpa mempertimbangkan sisi ekonomi dari kebijakan tersebut,True
@melvinyusufa9521,Oke gas oke gas makin bobrok kita gas 😂😂😂😂,2025-03-26T16:24:29Z,0,Oke gas oke gas makin bobrok kita gas 😂😂😂😂,True
@ayumasgini,Mungkin mereka tidak butuh suara rakyat lagi,2025-03-26T08:08:21Z,0,Mungkin mereka tidak butuh suara rakyat lagi,True
@D_nY69,DPR = Dewan Perwakilan REZIM,2025-03-26T05:18:22Z,0,DPR = Dewan Perwakilan REZIM,True
@yantoobon635,DPR.TAKUT.RUU.PERAMPASSAN.ASET.KENAPA KETUM.PANGGIL SURU.TTD.TIDAK.MAU.YAH.DI<br>PROSES.APA.ALASANNYA.UJUNG2NYA.PALING.MEREKA.TERLIBAT.MALING.SEMOGA.PRESIDEN.KU.TETEP.TEGAS.SEHAT.SLALU.AMIN.SALAM.BANTEN,2025-03-26T04:34:13Z,0,"DPR.TAKUT.RUU.PERAMPASSAN.ASET.KENAPA KETUM.PANGGIL SURU.TTD.TIDAK.MAU.YAH.DI
PROSES.APA.ALASANNYA.UJUNG2NYA.PALING.MEREKA.TERLIBAT.MALING.SEMOGA.PRESIDEN.KU.TETEP.TEGAS.SEHAT.SLALU.AMIN.SALAM.BANTEN",True
@rohmahrohmah5726,Kalo bapak Prabowo berani bubarkan dpr itu baru presiden sejati.saya tau benar otak kosong pun bisa kalo cuma jadi DPR. DPR itu sudah tidak berguna bagi negara ini dan pemborosan anggaran APBN,2025-03-25T23:02:21Z,0,Kalo bapak Prabowo berani bubarkan dpr itu baru presiden sejati.saya tau benar otak kosong pun bisa kalo cuma jadi DPR. DPR itu sudah tidak berguna bagi negara ini dan pemborosan anggaran APBN,True
@kaumkusam1692,DPR ( DEWAN PEME&#39;RINTAH ) 😂,2025-03-25T22:55:19Z,0,DPR ( DEWAN PEME'RINTAH ) 😂,True
