Username,Komentar,Timestamp,Likes,Original Text,Public
@simanjuntakjanter,"Maka nya Tempo jangan punya niat untuk tidak Netral, karena Rakyat Indonesia bersama Tempo",2025-03-27T01:25:34Z,0,"Maka nya Tempo jangan punya niat untuk tidak Netral, karena Rakyat Indonesia bersama Tempo",True
@Renaldo0007,Jadi ini penyebab di kirimya paket ??  Hadeh,2025-03-27T00:56:02Z,0,Jadi ini penyebab di kirimya paket ??  Hadeh,True
@fannysepang1447,Bocor halus hebat,2025-03-27T00:51:01Z,0,Bocor halus hebat,True
@Machfudoh-ld2ex,Hasbunallahwaningmalwakiil,2025-03-27T00:49:10Z,0,Hasbunallahwaningmalwakiil,True
@burhainisurian9194,"Jalan terus Tempo! .... Sampaikan KEBENARAN untuk masyarakat sipil yang cerdas dan punya akal sehat!. ... Yang takut dengan KEBENARAN, biasanya PENGECUT!",2025-03-27T00:49:04Z,0,"Jalan terus Tempo! .... Sampaikan KEBENARAN untuk masyarakat sipil yang cerdas dan punya akal sehat!. ... Yang takut dengan KEBENARAN, biasanya PENGECUT!",True
@ariefsetiawan5110,"Carut marut dan gejolak sosial politik juga sosial ekonomi ini bermula dari performa busuk jokowi waktu dia menjabat sebagai presiden, makanya dia hrs  segera di tangkap dan diadili, serta segera  turunkan wapres cacat  konstitusi hasil karya busuk  jokowi, karena dia adalah sumber dari kerusakan tatanan semua ini . . . . ! ! !",2025-03-27T00:32:12Z,0,"Carut marut dan gejolak sosial politik juga sosial ekonomi ini bermula dari performa busuk jokowi waktu dia menjabat sebagai presiden, makanya dia hrs  segera di tangkap dan diadili, serta segera  turunkan wapres cacat  konstitusi hasil karya busuk  jokowi, karena dia adalah sumber dari kerusakan tatanan semua ini . . . . ! ! !",True
@gunawaniskandar4989,Thanks,2025-03-27T00:25:08Z,0,Thanks,True
@salehwiyadiwiyadi5137,Yg Rusak Polisi yg di Demo TNI.... Ini kerjaan PKI,2025-03-27T00:05:15Z,0,Yg Rusak Polisi yg di Demo TNI.... Ini kerjaan PKI,True
@lisaelisa6971,Semangat tempo.,2025-03-27T00:03:01Z,0,Semangat tempo.,True
@susantouno,Memang seremm ini pembahasannya. Bisa selugas ini,2025-03-26T23:42:53Z,0,Memang seremm ini pembahasannya. Bisa selugas ini,True
@aulakbar1371,Maju terus Tempo!,2025-03-26T23:05:36Z,1,Maju terus Tempo!,True
@libertarianizem,oh jadi ini penyebab kiriman kepala babi sama tikus😆😆😆🤣🤣🤣😝😝😝,2025-03-26T22:51:53Z,1,oh jadi ini penyebab kiriman kepala babi sama tikus😆😆😆🤣🤣🤣😝😝😝,True
@harryyono1057,Tetap semangat dan maju terus....,2025-03-26T22:44:29Z,0,Tetap semangat dan maju terus....,True
@adhilistyohadribroto8306,"jd backing sabung ayam aja 3 polisi tewas, gimana jd backing narkoba........ bisa habis 1polda😮😮",2025-03-26T22:44:28Z,0,"jd backing sabung ayam aja 3 polisi tewas, gimana jd backing narkoba........ bisa habis 1polda😮😮",True
@tarsibudaya6408,Semangat terus bocor Alus.Rakyat mencintai kalian❤❤,2025-03-26T22:33:41Z,0,Semangat terus bocor Alus.Rakyat mencintai kalian❤❤,True
@gislainelee3181,Highest respect and appreciation to the team at BocorAlus. Rakyat menyayangi. Maju terus! Oase ditengah semua yang tak lagi independen. Semoga Tuhan menyayangi dan melindungi. Jangan gentar!,2025-03-26T22:22:35Z,0,Highest respect and appreciation to the team at BocorAlus. Rakyat menyayangi. Maju terus! Oase ditengah semua yang tak lagi independen. Semoga Tuhan menyayangi dan melindungi. Jangan gentar!,True
@championchampion2826,"masak kecap+5Powder mantap itu, apalagi dipanggang",2025-03-26T22:21:01Z,0,"masak kecap+5Powder mantap itu, apalagi dipanggang",True
@ZulfanSiregar-r3k,"Sepertinya TNI akan ditempatkan minimal 1 personil mulai dari tingkat aparat RT/RW sampai ke atasnya dengan tujuan sentuhan Pengamanan, agar warga terkendali. Mungkin kalau ada transparansi sanksi penyimpangan terhadap mereka. Rakyat bisa terima. Harus jelas undang-undang dan pasalnya.",2025-03-26T21:54:22Z,0,"Sepertinya TNI akan ditempatkan minimal 1 personil mulai dari tingkat aparat RT/RW sampai ke atasnya dengan tujuan sentuhan Pengamanan, agar warga terkendali. Mungkin kalau ada transparansi sanksi penyimpangan terhadap mereka. Rakyat bisa terima. Harus jelas undang-undang dan pasalnya.",True
@ahmaddondri5371,"Alahmak...kenapa gak ditunggu saja hasil kerjanya baru koar??<br>Selama ini sipil yang banyak korup, gak maju2 indonesia sampe sekarang. Sebagai contoh positif adanya TNI ialah kampung sayabyang pembangunan jalannya selalu dihalangi masyarakat sipil dan pejabat sipil tak mampu bangun, datang TNI dengan biaya seadanya, langsung klar itu jalan...",2025-03-26T21:31:27Z,0,"Alahmak...kenapa gak ditunggu saja hasil kerjanya baru koar??
Selama ini sipil yang banyak korup, gak maju2 indonesia sampe sekarang. Sebagai contoh positif adanya TNI ialah kampung sayabyang pembangunan jalannya selalu dihalangi masyarakat sipil dan pejabat sipil tak mampu bangun, datang TNI dengan biaya seadanya, langsung klar itu jalan...",True
@BudiAnto-vv1bf,"Kebenaran selalu mendapat musuh, maju terus 💪💪💪 Pantang Mundur",2025-03-26T21:21:27Z,0,"Kebenaran selalu mendapat musuh, maju terus 💪💪💪 Pantang Mundur",True
@jhon_thor2148,Bahas opo,2025-03-26T21:19:05Z,0,Bahas opo,True
@Sartiyem204,"Majalah luar namanya TIMES, di Indonesia Gunawan Mohammad membuat majalah TEMPO... suatu saat ada yang bikin majalah WEKDAL ...",2025-03-26T21:16:37Z,0,"Majalah luar namanya TIMES, di Indonesia Gunawan Mohammad membuat majalah TEMPO... suatu saat ada yang bikin majalah WEKDAL ...",True
@abduljalil3d67,MENUJU TOTaLITER FOTTBaaL,2025-03-26T20:59:02Z,0,MENUJU TOTaLITER FOTTBaaL,True
@ayaminhatul6199,Plc kan ga bener ngurusinnya..banyak jga bandar dilindungin ama mereka,2025-03-26T20:58:39Z,0,Plc kan ga bener ngurusinnya..banyak jga bandar dilindungin ama mereka,True
@rahmiar1123,apa prabowo lbh percaya tni drpd polisi?,2025-03-26T20:58:16Z,0,apa prabowo lbh percaya tni drpd polisi?,True
@RmSuprapto,Jika TNI tidak bergerak maka PKI tumbuh subur di Indonesia,2025-03-26T20:58:00Z,0,Jika TNI tidak bergerak maka PKI tumbuh subur di Indonesia,True
@TOKOPEDIAVILELMO,BATAS,2025-03-26T20:54:59Z,0,BATAS,True
@suhanda0503,Tempo top matkotop..❤,2025-03-26T20:52:32Z,0,Tempo top matkotop..❤,True
@sugitogito7160,Prbowo kyk jikowo 11-12. Klo rubah uu begitu super cepat,2025-03-26T20:48:22Z,0,Prbowo kyk jikowo 11-12. Klo rubah uu begitu super cepat,True
@sugitogito7160,Ini prabowo kyk suharto. Mau berkuasa sekama lamanya. Tdk boleh di gantikan,2025-03-26T20:45:26Z,0,Ini prabowo kyk suharto. Mau berkuasa sekama lamanya. Tdk boleh di gantikan,True
@SuryadiSikumbang-y8z,Kl sepatu sampai ke kening lu ntr lu tau apa itu dwi fungsi,2025-03-26T20:45:24Z,0,Kl sepatu sampai ke kening lu ntr lu tau apa itu dwi fungsi,True
