Username,Komentar,Timestamp,Likes,Original Text,Public
@newrpgmobile2524,Buat podcast lagi bang bahas gini ajak bang ferry irwandi juga,2025-03-27T01:28:19Z,0,Buat podcast lagi bang bahas gini ajak bang ferry irwandi juga,True
@bagassyahroni,RAKYAT MANA YANG DPR WAKILI??? GERAM KALI !,2025-03-27T01:21:44Z,0,RAKYAT MANA YANG DPR WAKILI??? GERAM KALI !,True
@_yaelahhan,dagingnya dapet kocaknya dapet,2025-03-27T01:14:32Z,0,dagingnya dapet kocaknya dapet,True
@anonym6043,saatnya renaisans buat negeri merah putih soalnya biasanya habis gelap terbitlah danant maksudnya terang,2025-03-27T01:11:54Z,0,saatnya renaisans buat negeri merah putih soalnya biasanya habis gelap terbitlah danant maksudnya terang,True
@naisiregar,"Senang melihat video ini, sooo happy, terima kasih",2025-03-27T01:01:01Z,0,"Senang melihat video ini, sooo happy, terima kasih",True
@_yaelahhan,ko jadi akang ssiii😭😭😭,2025-03-27T00:46:28Z,0,ko jadi akang ssiii😭😭😭,True
@Sam-gz1pz,Lahir &amp; mati di Tanah Airku 🇲🇨<br>Membesarkan anak2ku di 🇲🇨<br>Dpt Jodoh &amp; Rezeqi di 🇲🇨<br>Bahkan buang hajatpun di 🇲🇨<br>So .. full I❤️🇲🇨,2025-03-27T00:30:29Z,0,"Lahir & mati di Tanah Airku 🇲🇨
Membesarkan anak2ku di 🇲🇨
Dpt Jodoh & Rezeqi di 🇲🇨
Bahkan buang hajatpun di 🇲🇨
So .. full I❤️🇲🇨",True
@diminish6275,hmmm harus berhenti pura-pura tidak tahu ga sih?,2025-03-27T00:20:14Z,0,hmmm harus berhenti pura-pura tidak tahu ga sih?,True
@M27-q3m,Dipinggir jurang😂,2025-03-26T23:49:57Z,0,Dipinggir jurang😂,True
@gumieatmaja,Gass lagi next topik,2025-03-26T22:04:27Z,0,Gass lagi next topik,True
@nadiaulfahnurjannah,Kijang satu ganti,2025-03-26T20:50:36Z,0,Kijang satu ganti,True
@sunshimazaki7663,"Bro dengan segenap kesadaran berkata membuat pemerintahan bayangan 💀 semoga para pemikir negara ini aman dan sehat, bahaya banget brok kalo udah bilang gitu bjir 💀",2025-03-26T20:33:04Z,0,"Bro dengan segenap kesadaran berkata membuat pemerintahan bayangan 💀 semoga para pemikir negara ini aman dan sehat, bahaya banget brok kalo udah bilang gitu bjir 💀",True
@RickyRicky-v8z,Mantap👍,2025-03-26T20:04:47Z,0,Mantap👍,True
@UdinBole-ty9hk,3 badut  lg kolaborasi,2025-03-26T19:57:39Z,0,3 badut  lg kolaborasi,True
@3bersaudara94,mantap 🎉🎉,2025-03-26T19:27:37Z,0,mantap 🎉🎉,True
@MakarovSergey39,"Hmm agak skeptis bisa muncul ruang diskusi yg sehat dengan polarisasi ini. Ambil sample dari sosial media aja deh, sama-sama tau lah debat publik paling banyak diantara medsos lain ya cuma di X(bukan berarti di medsos lain gak ada, ada tapi gak sesignifikan di X aja) skrg katakan kita ambil X sebagai samplenya saat orang diskusi yang beda spektrum 180 derajat apa yg terjadi?<br>&gt;dicancel(paling ringan)<br>&gt;doxxing<br>&gt;diserang bot<br>&gt;ancaman personal, dsb<br><br>Dan ini semua pakai tameng mindset &quot;holier than thou&quot;, lucunya kemarin soal ini sempat diangkat sama Pandji eh malah Pandji diserang balik dibilang permisif sama anak abah wkwkw. Kita tuh levelnya emang masih di polarisasi berbasis fomo aja sih sayangnya. Dan ini juga gak berkaitan sama akses pendidikan pula, kenal beberapa tech bros-diaspora yang pada mabok politik kaya gitu juga sampai bikin rekrutmen kerja berbasis pilihan politik ada loh, dokter dan dosen juga ada wkwkw.",2025-03-26T19:22:21Z,0,"Hmm agak skeptis bisa muncul ruang diskusi yg sehat dengan polarisasi ini. Ambil sample dari sosial media aja deh, sama-sama tau lah debat publik paling banyak diantara medsos lain ya cuma di X(bukan berarti di medsos lain gak ada, ada tapi gak sesignifikan di X aja) skrg katakan kita ambil X sebagai samplenya saat orang diskusi yang beda spektrum 180 derajat apa yg terjadi?
>dicancel(paling ringan)
>doxxing
>diserang bot
>ancaman personal, dsb

Dan ini semua pakai tameng mindset ""holier than thou"", lucunya kemarin soal ini sempat diangkat sama Pandji eh malah Pandji diserang balik dibilang permisif sama anak abah wkwkw. Kita tuh levelnya emang masih di polarisasi berbasis fomo aja sih sayangnya. Dan ini juga gak berkaitan sama akses pendidikan pula, kenal beberapa tech bros-diaspora yang pada mabok politik kaya gitu juga sampai bikin rekrutmen kerja berbasis pilihan politik ada loh, dokter dan dosen juga ada wkwkw.",True
@YuslamNahdi,"Gembul masih berani ngoceh😂😂😂😂 panggil ustdz nurrudin, nangis lagi 😂",2025-03-26T19:05:38Z,0,"Gembul masih berani ngoceh😂😂😂😂 panggil ustdz nurrudin, nangis lagi 😂",True
@SodDiq-mz7zw,Ngeri🎉,2025-03-26T18:24:43Z,0,Ngeri🎉,True
@stnmediatuban499,Saya lebih suka kalau guru gembul bahas kayak gini. Tidak usah membahas Agama yang tidak menjadi bidangnya. <br><br><br><br>Semangat pak guru gembul. Sampaikan fakta tentang kebobrokan pemerintah. Biar mereka buka otak.,2025-03-26T18:11:28Z,0,"Saya lebih suka kalau guru gembul bahas kayak gini. Tidak usah membahas Agama yang tidak menjadi bidangnya. 



Semangat pak guru gembul. Sampaikan fakta tentang kebobrokan pemerintah. Biar mereka buka otak.",True
@UdinBole-ty9hk,Halah GK penting,2025-03-26T16:55:07Z,0,Halah GK penting,True
@firstavina,"Sumpah seruuuuu banget ini. Kuy lah asosiasi influencer-nya biar berjalan. Bahas lagi dong lebih dalam, guys. Hehehehe..",2025-03-26T16:36:20Z,0,"Sumpah seruuuuu banget ini. Kuy lah asosiasi influencer-nya biar berjalan. Bahas lagi dong lebih dalam, guys. Hehehehe..",True
@budihermawan7626,"escape selanjutnya Abah dong ,seru kayaknya",2025-03-26T16:31:33Z,0,"escape selanjutnya Abah dong ,seru kayaknya",True
@diaryanakislam9864,wow,2025-03-26T16:12:47Z,0,wow,True
@sitinadafaradisa4917,Ini seharusnya 2 jam bukan cuma soal taaruf,2025-03-26T15:37:27Z,0,Ini seharusnya 2 jam bukan cuma soal taaruf,True
@sitinadafaradisa4917,Lahh kenapa cuma sejam🙃,2025-03-26T15:36:57Z,0,Lahh kenapa cuma sejam🙃,True
@sitinadafaradisa4917,Tapi ini mereka berani buangett sihh keren,2025-03-26T14:50:11Z,0,Tapi ini mereka berani buangett sihh keren,True
@sitinadafaradisa4917,Nahh udah seterbuka ini masih aja gak beress beres permasalahan negara. Gak ada solusi. Fakta mulu. Rakyat cukup tau aja. Tapi gak bisa ngapa ngapain.,2025-03-26T14:49:51Z,0,Nahh udah seterbuka ini masih aja gak beress beres permasalahan negara. Gak ada solusi. Fakta mulu. Rakyat cukup tau aja. Tapi gak bisa ngapa ngapain.,True
@HarryStillhate,Sisipin verren 😮😮,2025-03-26T14:26:38Z,0,Sisipin verren 😮😮,True
@BungaMatahari-nd7jp,Aku sampe ketawa² ngakak saking ikut degdegan nya huhu,2025-03-26T14:19:14Z,0,Aku sampe ketawa² ngakak saking ikut degdegan nya huhu,True
@muhammadyusni8887,RIP indonesia,2025-03-26T13:48:01Z,0,RIP indonesia,True
@abxy851,Demi Allah ni pemerintah dzolim banget sama rakyat²nya.,2025-03-26T13:47:40Z,0,Demi Allah ni pemerintah dzolim banget sama rakyat²nya.,True
@Lukman2801-tt2zl,Kenapa kejahatan nampak berkuasa dan keliatan banyak!!! Karena orang2 baik pada diam.,2025-03-26T13:19:29Z,0,Kenapa kejahatan nampak berkuasa dan keliatan banyak!!! Karena orang2 baik pada diam.,True
@kemanakitaguys5455,Hahaha😂,2025-03-26T12:32:18Z,0,Hahaha😂,True
@Teguhbudiprasetyo-f4k,Aku sdh baca isinya UU TNI itu msh wajar isinya....koq Heboh bgt ya,2025-03-26T12:24:16Z,0,Aku sdh baca isinya UU TNI itu msh wajar isinya....koq Heboh bgt ya,True
@gunawannew-m1c,UU no 14 tahun 2008<br>Semuanya ada disini tentang transparansi pemerintahan,2025-03-26T12:19:35Z,0,"UU no 14 tahun 2008
Semuanya ada disini tentang transparansi pemerintahan",True
@arokputra6690,DPR perlu di gerebek jika rapat tertutup,2025-03-26T12:03:46Z,0,DPR perlu di gerebek jika rapat tertutup,True
@MichaelKaiser-p1c,Emang Indonesia punya sisi terang ? 🌚,2025-03-26T11:02:10Z,0,Emang Indonesia punya sisi terang ? 🌚,True
@JuggernautFurry,"Kok gak ngundang Anies Baswedan, padahal ini sering beliau spot light bahkan jauh sebelum kebijakan2 ini terjadi. Saya suka pak Anies itu intelektualitas nya luas, banyak orang gak paham karena diksi yang beliau pakai gak bisa mereka pahami.",2025-03-26T10:56:18Z,0,"Kok gak ngundang Anies Baswedan, padahal ini sering beliau spot light bahkan jauh sebelum kebijakan2 ini terjadi. Saya suka pak Anies itu intelektualitas nya luas, banyak orang gak paham karena diksi yang beliau pakai gak bisa mereka pahami.",True
@wanlahi,Rekruitment Anggota dewan maunya diseleksi ya biar ide2 kreatif muncul😂 klo gak bs bubarin aja DPR  itu,2025-03-26T10:52:55Z,0,Rekruitment Anggota dewan maunya diseleksi ya biar ide2 kreatif muncul😂 klo gak bs bubarin aja DPR  itu,True
@salmadhiya136,Amazing bgt episode ini 🔥,2025-03-26T08:24:24Z,0,Amazing bgt episode ini 🔥,True
@alladinBey-l5b,guru gemar ngimbul,2025-03-26T08:02:20Z,0,guru gemar ngimbul,True
@esyeUli,Keren.,2025-03-26T07:56:02Z,0,Keren.,True
@tani6415,Felix buat apa disitu😂,2025-03-26T07:44:05Z,0,Felix buat apa disitu😂,True
@IlhamMuzakki-sg4yc,Ustadz Felix ini liat Plato ya,2025-03-26T07:09:03Z,0,Ustadz Felix ini liat Plato ya,True
@ariprio,"Mau tau apa penyebab pemimpin dan bawahan nya yang terpilih sekarang tidak bagus?<br><br>ya orang JUJUR nya , orang yang punya kemampuan buat memimpin, orang yang layak , TIDAK MAU jadi pemimpin dsb<br><br>emang saya paham mereka gamau , karena sistem nya yang dari awal udah cacat , tidak mau berubah dan tidak membawa kepada yang lebih baik<br><br>Tapi tidak bisa jadi alasan lagi, emang nya mau sampe kapan orang JUJUR, orang yang memiliki kemampuan DIAM TERUS ?<br><br>Kalian terjun lah, dan RUBAH sistem itu jadi PAKEM, dan REGULASI nya tidak boleh berubah rubah lagi jika sudah baik",2025-03-26T07:05:46Z,0,"Mau tau apa penyebab pemimpin dan bawahan nya yang terpilih sekarang tidak bagus?

ya orang JUJUR nya , orang yang punya kemampuan buat memimpin, orang yang layak , TIDAK MAU jadi pemimpin dsb

emang saya paham mereka gamau , karena sistem nya yang dari awal udah cacat , tidak mau berubah dan tidak membawa kepada yang lebih baik

Tapi tidak bisa jadi alasan lagi, emang nya mau sampe kapan orang JUJUR, orang yang memiliki kemampuan DIAM TERUS ?

Kalian terjun lah, dan RUBAH sistem itu jadi PAKEM, dan REGULASI nya tidak boleh berubah rubah lagi jika sudah baik",True
@gunawanwibisono9695,panas panas panaaaassss,2025-03-26T06:14:29Z,0,panas panas panaaaassss,True
@gamberisik,"<a href=""https://www.youtube.com/watch?v=tq4ahGhPGCM&amp;t=2306"">38:26</a> anying 😭😭",2025-03-26T05:49:06Z,0,38:26 anying 😭😭,True
@pracasiaandri7555,Halloooo intelll... 😁🤣🤣🤣,2025-03-26T05:48:37Z,0,Halloooo intelll... 😁🤣🤣🤣,True
@gamberisik,warga atau rakyat ga butuh perwakilan orang yang mewakilinya aja bukan dari rakyat tapi dari nafsu dunia,2025-03-26T05:07:46Z,0,warga atau rakyat ga butuh perwakilan orang yang mewakilinya aja bukan dari rakyat tapi dari nafsu dunia,True
@mutant0511,Gils.. episode paling bahaya sejauh gue nonton keknya sih. 😅,2025-03-26T04:30:03Z,0,Gils.. episode paling bahaya sejauh gue nonton keknya sih. 😅,True
@retnoowulandari8192,Jujur ini topik lumayan berat dan ini ga semua orang bisa nerima atau mengerti mengenai topik secara keseluruhan,2025-03-26T04:27:31Z,0,Jujur ini topik lumayan berat dan ini ga semua orang bisa nerima atau mengerti mengenai topik secara keseluruhan,True
@uthibfg9480,"Disini bisa ya Raymond pakai lu gue, Ust Felix pakai aku, Guru gembul pakai saya. Tapi tetep ngeblend ngobrolnya",2025-03-26T04:24:52Z,0,"Disini bisa ya Raymond pakai lu gue, Ust Felix pakai aku, Guru gembul pakai saya. Tapi tetep ngeblend ngobrolnya",True
@niaulfita,"Gimana rakyat indo mau kritis banggg klo kita ngga punya beras dirumah kerja susah gaji dibawah rata2 kita lbh fokus gimana survive hidup dibanding mikirin pemerintahan itu yng saya dapet dimasyarakat menegah kebawah, saolnya saya gen Z yng jdi atasan mereka sering diskusi sama mereka dan bertukar pemikiran hidup rakyat kecil keras bangg kata mereka &quot;sebenernya tau dan mau kritis tapi survive hidup dan juga nghdupin keluarga lbh realistis&quot;",2025-03-26T04:13:52Z,2,"Gimana rakyat indo mau kritis banggg klo kita ngga punya beras dirumah kerja susah gaji dibawah rata2 kita lbh fokus gimana survive hidup dibanding mikirin pemerintahan itu yng saya dapet dimasyarakat menegah kebawah, saolnya saya gen Z yng jdi atasan mereka sering diskusi sama mereka dan bertukar pemikiran hidup rakyat kecil keras bangg kata mereka ""sebenernya tau dan mau kritis tapi survive hidup dan juga nghdupin keluarga lbh realistis""",True
@saepulhakim4610,"Iklan yotoube semuanya emang pinjol ya, ganggu bgt",2025-03-26T04:04:32Z,0,"Iklan yotoube semuanya emang pinjol ya, ganggu bgt",True
@surcradis7,"<a href=""https://www.youtube.com/watch?v=tq4ahGhPGCM&amp;t=2756"">45:56</a> <b>boombastic side eye</b>",2025-03-26T03:54:50Z,0,45:56 *boombastic side eye*,True
